COLEGIO_DEPA,ESPECIALIDAD,SEXO,INGRESO,egreso_postulacion,edad
LIMA,ARQUITECTURA,FEMENINO,NO,1,18
LIMA,INGENIERÍA DE MINAS,MASCULINO,NO,6,23
LIMA,INGENIERÍA ESTADÍSTICA,MASCULINO,NO,2,18
LIMA,INGENIERÍA DE MINAS,MASCULINO,NO,2,19
LIMA,INGENIERÍA DE MINAS,MASCULINO,NO,3,19
LIMA,INGENIERÍA DE SOFTWARE,MASCULINO,SI,3,19
LIMA,INGENIERÍA SANITARIA,MASCULINO,NO,2,19
LIMA,INGENIERÍA INDUSTRIAL,MASCULINO,NO,1,17
LIMA,INGENIERÍA DE SOFTWARE,MASCULINO,NO,2,19
AYACUCHO,INGENIERÍA ELECTRÓNICA,MASCULINO,NO,3,19
LIMA,INGENIERÍA MECATRÓNICA,MASCULINO,NO,1,18
LIMA,INGENIERÍA DE TELECOMUNICACIONES,FEMENINO,NO,3,19
LIMA,INGENIERÍA DE CIBERSEGURIDAD,MASCULINO,NO,5,21
